	Word	PoS	FrIm		LL		FrIn

	hovered	Verb	12	+	369.5	1
	interactive	Adj	0	-	369.5	12
	glare	NoC	16	+	369.1	3
	describe	Verb	21	-	368.9	52
	banned	Verb	3	-	368.7	21
	fastened	Verb	15	+	368.7	2
	fool	Verb	14	+	368.4	2
	democrat	NoC	0	-	368.3	13
	exercised	Verb	3	-	368.1	20
	fault	NoC	58	+	368.0	27
	smoothed	Verb	13	+	368.0	2
	in line with	Prep	1	-	367.8	16
	claiming	Verb	7	-	367.8	28
	notion	NoC	17	-	367.8	46
	sleeve	NoC	24	+	367.7	6
	Mexico	NoP	4	-	367.6	22
	analysts	NoC	1	-	367.5	15
	disciplines	NoC	1	-	367.5	15
	improving	Verb	3	-	367.4	21
	5%	NoC	0	-	367.4	11
	microsystems	NoC	0	-	367.4	11
	surplus	NoC	1	-	367.4	16
	rubbing	Verb	17	+	367.3	3
	achievements	NoC	3	-	367.3	20
	handling	NoC	3	-	367.3	20
	used [to]	VMod	127	+	367.2	78
	emergency	NoC	19	-	366.8	48
	half-past	Prep	12	+	366.7	1
	Cameron	NoP	24	+	366.7	7
	Novell	NoP	0	-	366.5	11
	Arsenal	NoP	1	-	366.3	15
	Carla	NoP	13	+	366.3	2
	disciplinary	Adj	1	-	366.3	15
	scheduled	Verb	2	-	366.1	19
	extreme	Adj	14	-	366.0	41
	nurse	NoC	57	+	365.8	27
	geography	NoC	3	-	365.7	21
	knuckles	NoC	11	+	365.6	1
	contractual	Adj	0	-	365.5	12
	modified	Verb	1	-	365.3	16
	gathered	Verb	50	+	365.3	22
	1995	Num	0	-	365.3	12
	pausing	Verb	13	+	365.2	2
	literacy	NoC	0	-	365.2	13
	kindly	Adv	23	+	365.1	6
	indication	NoC	7	-	365.0	29
	critique	NoC	0	-	364.8	12
	astonished	Adj	19	+	364.7	4
	Serbian	Adj	0	-	364.6	12
	islands	NoC	17	-	364.5	45
	device	NoC	11	-	364.4	36
	jealousy	NoC	20	+	364.4	5
	1947	Num	1	-	364.3	16
	happening	Verb	60	+	364.2	28
	seeming	Verb	14	+	364.1	2
	qualified	Adj	3	-	364.1	19
	dictionary	NoC	4	-	364.0	22
	offer	NoC	35	-	364.0	72
	intestinal	Adj	0	-	364.0	12
	good-looking	Adj	14	+	363.7	2
	twenty	Num	102	+	363.7	59
	proportional	Adj	0	-	363.5	12
	Malik	NoP	12	+	363.4	1
	oddly	Adv	20	+	363.3	5
	weeping	Verb	12	+	363.3	1
	Catherine	NoP	34	+	363.3	12
	in response to	Prep	6	-	363.1	26
	£2	NoC	0	-	363.1	12
	album	NoC	7	-	363.1	27
	neat	Adj	37	+	363.1	14
	valuation	NoC	1	-	362.9	15
	impatience	NoC	15	+	362.9	2
	perched	Verb	17	+	362.8	3
	chemistry	NoC	5	-	362.8	24
	enjoying	Verb	43	+	362.7	17
	dialled	Verb	10	+	362.6	1
	Lancashire	NoP	3	-	362.5	21
	at present	Adv	11	-	362.5	36
	mining	NoC	3	-	362.5	19
	louder	Adj	17	+	362.5	3
	noticing	Verb	16	+	362.5	3
	hating	Verb	10	+	362.4	1
	attainment	NoC	0	-	362.4	12
	exclusively	Adv	4	-	362.3	22
	Mandeville	NoP	13	+	362.3	1
	references	NoC	6	-	361.9	26
	Dorothy	NoP	28	+	361.8	8
	manufacture	NoC	2	-	361.7	17
	Midlands	NoP	3	-	361.7	20
	dimly	Adv	11	+	361.6	1
	varied	Verb	3	-	361.6	21
	transformation	NoC	4	-	361.5	23
	exasperation	NoC	12	+	361.4	1
	organizational	Adj	0	-	361.2	13
	Croatia	NoP	0	-	360.7	11
	recordings	NoC	1	-	360.7	14
	expected	Adj	6	-	360.5	27
	slumped	Verb	21	+	360.4	5
	tide	NoC	37	+	360.4	14
	exceptions	NoC	2	-	360.3	18
	secure	Verb	11	-	360.3	35
	illegal	Adj	8	-	360.2	31
	grateful	Adj	50	+	360.2	22
	popularity	NoC	2	-	359.9	18
	clearly	Adv	111	-	359.7	171
	Indonesia	NoP	0	-	359.6	12
	P.	NoP	3	-	359.4	19
	opposite	Prep	27	+	359.2	8
	where	Conj	407	-	359.1	514
	attack	NoC	49	-	359.0	92
	cover	Verb	35	-	359.0	72
	feedback	NoC	1	-	359.0	16
	counselling	NoC	2	-	359.0	18
	interpretations	NoC	1	-	359.0	14
	V / v	Num	1	-	359.0	14
	park	NoC	68	-	358.7	117
	lawn	NoC	25	+	358.7	7
	construct	Verb	2	-	358.6	17
	performances	NoC	4	-	358.4	21
	successor	NoC	3	-	358.4	19
	instruction	NoC	8	-	358.4	29
	workstations	NoC	0	-	358.0	11
	on the part of	Prep	3	-	357.8	20
	vice-President	NoC	1	-	357.7	15
	imprisonment	NoC	3	-	357.7	20
	evolutionary	Adj	1	-	357.6	15
	serve	Verb	29	-	357.6	64
	mammals	NoC	0	-	357.6	13
	worldwide	Adj	1	-	357.4	14
	zone	NoC	9	-	357.3	33
	continuity	NoC	2	-	357.3	17
	UX	NoP	0	-	357.3	11
	qualification	NoC	2	-	357.3	16
	courtyard	NoC	23	+	357.0	6
	ghosts	NoC	19	+	356.9	4
	Bell	NoP	4	-	356.8	21
	CD	NoC	1	-	356.7	14
	kneeling	Verb	12	+	356.6	1
	shabby	Adj	14	+	356.6	2
	£500	NoC	0	-	356.5	13
	polished	Adj	20	+	356.4	5
	polls	NoC	1	-	356.3	15
	electricity	NoC	17	-	356.1	45
	careers	NoC	3	-	356.1	21
	racism	NoC	1	-	356.0	15
	flew	Verb	46	+	355.9	20
	appeals	NoC	3	-	355.7	19
	glimpse	NoC	24	+	355.5	7
	glowing	Verb	12	+	355.5	1
	E.R.	NoP	0	-	355.3	11
	either	Adv	166	-	355.3	237
	deposit	NoC	4	-	355.2	21
	raincoat	NoC	10	+	355.1	1
	accuracy	NoC	4	-	355.1	22
	nitrogen	NoC	0	-	355.1	12
	Clarissa	NoP	10	+	355.0	1
	grasped	Verb	19	+	354.9	4
	exceed	Verb	1	-	354.8	14
	disclosure	NoC	1	-	354.8	14
	PLO	NoP	0	-	354.8	11
	remove	Verb	19	-	354.7	48
	slight	Adj	55	+	354.7	25
	ranging	Verb	3	-	354.7	20
	1936	Num	1	-	354.6	14
	Liza	NoP	11	+	354.5	1
	ethical	Adj	1	-	354.4	15
	beckoned	Verb	11	+	354.4	1
	deeply	Adv	67	+	354.2	34
	planning	Verb	27	-	354.2	60
	defining	Verb	1	-	354.2	13
	nationalism	NoC	1	-	354.2	13
	holdings	NoC	2	-	354.1	16
	as usual	Adv	29	+	354.0	9
	governing	Adj	1	-	354.0	14
	Lou	NoP	18	+	353.9	4
	inadequate	Adj	8	-	353.9	30
	Crohn	NoP	0	-	353.8	11
	bothering	Verb	12	+	353.8	2
	relative to	Prep	1	-	353.7	13
	storm	NoC	45	+	353.7	19
	blond	Adj	14	+	353.6	2
	so-called	Adj	10	-	353.6	34
	perceived	Verb	4	-	353.5	23
	dusk	NoC	18	+	353.5	4
	annually	Adv	1	-	353.4	15
	accused	Verb	19	-	353.4	48
	2.5	Num	0	-	353.4	11
	exemption	NoC	0	-	353.4	13
	configuration	NoC	1	-	353.3	14
	faltered	Verb	11	+	353.3	1
	Ltd.	Adj	2	-	353.2	18
	reality	NoC	39	-	353.2	78
	unionists	NoC	0	-	353.1	12
	striding	Verb	11	+	353.0	1
	embrace	NoC	14	+	352.9	2
	programming	NoC	1	-	352.9	14
	alpha	NoC	1	-	352.7	15
	curls	NoC	18	+	352.5	4
	threat	NoC	33	-	352.5	69
	Washington	NoP	15	-	352.5	42
	misleading	Adj	2	-	352.4	17
	stocks	NoC	4	-	352.3	21
	Shannon	NoP	13	+	352.2	2
	lists	NoC	7	-	352.0	27
	longing	NoC	16	+	352.0	3
	briefcase	NoC	13	+	352.0	2
	origins	NoC	5	-	351.9	24
	introduce	Verb	15	-	351.9	41
	peoples	NoC	3	-	351.8	19
	gon~	Verb	17	+	351.8	3
	consisting	Verb	2	-	351.8	17
	magnetic	Adj	3	-	351.8	20
	perceptions	NoC	1	-	351.6	16
	childish	Adj	15	+	351.5	3
	usage	NoC	1	-	351.5	15
	expand	Verb	4	-	351.0	22
	experience	Verb	9	-	351.0	31
	whore	NoC	11	+	350.7	1
	viewed	Verb	7	-	350.6	28
	chewed	Verb	12	+	350.5	1
	lock	NoC	32	+	350.5	11
	narrow	Adj	83	+	350.4	45
	fusion	NoC	2	-	350.3	16
	harshly	Adv	13	+	350.2	2
	stillness	NoC	13	+	350.2	2
	estates	NoC	6	-	350.2	26
	colonial	Adj	3	-	350.2	21
	plaintiffs	NoC	0	-	350.2	11
	dancing	Verb	28	+	350.1	9
	slung	Verb	11	+	350.0	1
	lie	Verb	73	+	349.8	38
	85	Num	0	-	349.8	13
	debates	NoC	1	-	349.6	16
	facilitate	Verb	1	-	349.6	14
	miserably	Adv	12	+	349.6	1
	drugs	NoC	29	-	349.5	63
	Lebanon	NoP	1	-	349.5	15
	developers	NoC	1	-	349.4	15
	likes	Verb	36	+	349.4	13
	Clinton	NoP	6	-	349.3	26
	1914	Num	1	-	349.2	16
	live	Adj	11	-	349.1	36
	abolished	Verb	1	-	348.9	15
	Deborah	NoP	16	+	348.9	3
	Austria	NoP	2	-	348.8	17
	weary	Adj	20	+	348.7	4
	equality	NoC	3	-	348.5	20
	BP	NoP	0	-	348.5	13
	joking	Verb	16	+	348.4	3
	socks	NoC	21	+	348.4	5
	sherry	NoC	16	+	348.3	3
	Hector	NoP	16	+	348.3	3
	commerce	NoC	4	-	348.3	21
	infrastructure	NoC	1	-	348.2	13
	P	NoP	1	-	348.2	14
	partner	NoC	27	-	348.1	60
	Sybil	NoP	12	+	348.1	1
	please	Verb	26	+	348.0	8
	47	Num	1	-	347.8	16
	opening	NoC	27	-	347.7	60
	allegedly	Adv	1	-	347.7	14
	agents	NoC	18	-	347.7	46
	Diana	NoP	8	-	347.7	29
	priced	Verb	1	-	347.6	15
	ceasefire	NoC	0	-	347.6	11
	enough	DetP	112	+	347.6	68
	executives	NoC	2	-	347.4	18
	risks	NoC	9	-	347.3	32
	parish	NoC	17	-	347.2	45
	ulcerative	Adj	0	-	347.2	11
	equations	NoC	1	-	346.9	14
	justified	Verb	6	-	346.9	26
	Vic	NoP	20	+	346.7	5
	defiantly	Adv	12	+	346.7	1
	miserable	Adj	27	+	346.6	8
	large-scale	Adj	1	-	346.6	15
	Louisa	NoP	12	+	346.6	2
	39	Num	2	-	346.6	17
	controlled	Verb	17	-	346.5	45
	characteristic	NoC	2	-	346.5	18
	dominance	NoC	1	-	346.5	15
	yield	NoC	1	-	346.5	15
	Dorothea	NoP	11	+	346.3	1
	1940	Num	2	-	346.1	16
	a.c.	NoC	0	-	346.0	11
	admits	Verb	2	-	345.9	17
	prize	NoC	13	-	345.9	38
	fails	Verb	5	-	345.8	24
	broader	Adj	2	-	345.8	18
	43	Num	2	-	345.6	17
	legislature	NoC	0	-	345.5	11
	vertical	Adj	5	-	345.4	23
	running	Verb	144	+	345.4	93
	register	NoC	6	-	345.3	27
	jointly	Adv	1	-	345.2	15
	drunk	Verb	17	+	345.0	3
	aquarium	NoC	0	-	344.9	12
	throwing	Verb	36	+	344.8	13
	injured	Verb	7	-	344.7	27
	separation	NoC	5	-	344.7	24
	restrict	Verb	1	-	344.7	14
	pensioners	NoC	2	-	344.7	16
	in support of	Prep	1	-	344.5	14
	practitioner	NoC	1	-	344.4	15
	terror	NoC	34	+	344.1	12
	grim	Adj	26	+	344.1	8
	eagerly	Adv	20	+	344.0	5
	half	DetP	236	+	344.0	168
	Greek	Adj	12	-	344.0	37
	son	NoC	184	+	344.0	125
	taut	Adj	13	+	343.9	2
	pre-tax	Adj	0	-	343.8	11
	curiously	Adv	24	+	343.4	7
	revision	NoC	1	-	343.4	14
	mail	NoC	15	-	343.3	41
	promoter	NoC	0	-	343.3	11
	blanket	NoC	26	+	343.2	8
	published	Adj	0	-	343.2	12
	affecting	Verb	4	-	343.1	22
	specify	Verb	2	-	343.1	17
	satellite	NoC	4	-	343.1	21
	inland	Adj	2	-	343.0	16
	over	Prep	864	+	343.0	729
	exceptional	Adj	4	-	342.8	23
	bunk	NoC	11	+	342.7	1
	oz	NoC	0	-	342.6	11
	territory	NoC	14	-	342.4	39
	moderate	Adj	2	-	342.3	17
	documentation	NoC	1	-	342.2	15
	CNAA	NoP	0	-	342.1	10
	upset	Adj	35	+	341.8	13
	shaken	Verb	21	+	341.8	5
	advocated	Verb	0	-	341.7	12
	duties	NoC	19	-	341.7	47
	unacceptable	Adj	2	-	341.7	16
	SPR	NoP	0	-	341.6	10
	elbows	NoC	16	+	341.6	3
	Emma	NoP	28	+	341.6	9
	bilateral	Adj	0	-	341.5	11
	ache	NoC	10	+	341.2	1
	Thompson	NoP	3	-	341.0	18
	incorporate	Verb	1	-	340.7	15
	rely	Verb	10	-	340.5	34
	S	NoP	1	-	340.5	14
	suspected	Verb	35	+	340.3	13
	announcement	NoC	8	-	340.2	30
	Hugo	NoP	16	+	339.8	3
	1954	Num	1	-	339.8	14
	creed	NoC	17	+	339.8	4
	annoyance	NoC	15	+	339.8	3
	Stockton	NoP	0	-	339.6	12
	250	Num	2	-	339.6	16
	indigenous	Adj	1	-	339.5	13
	economists	NoC	0	-	339.3	12
	excitedly	Adv	11	+	339.2	1
	Cambridge	NoP	17	-	339.2	44
	observation	NoC	12	-	339.1	36
	fertility	NoC	2	-	339.1	17
	settlements	NoC	2	-	338.9	16
	architectural	Adj	2	-	338.8	17
	1952	Num	1	-	338.5	13
	in that	Conj	4	-	338.5	22
	dragon	NoC	23	+	338.5	6
	per annum	Adv	0	-	338.4	12
	restless	Adj	19	+	338.2	4
	disposal	NoC	7	-	338.2	27
	roof	NoC	69	+	338.1	35
	entrance	NoC	57	+	338.0	27
	centuries	NoC	17	-	338.0	45
	classroom	NoC	7	-	337.9	28
	deaf	Adj	10	-	337.9	33
	pinned	Verb	18	+	337.7	4
	soccer	NoC	2	-	337.6	18
	ICL	NoP	0	-	337.5	10
	R.	NoP	6	-	337.4	26
	English	NoC	52	-	337.3	93
	BT	NoP	0	-	337.1	11
	800	Num	0	-	337.1	12
	30%	NoC	0	-	337.0	10
	inwardly	Adv	11	+	337.0	1
	saucer	NoC	12	+	336.9	1
	deemed	Verb	3	-	336.8	19
	Li	NoP	23	+	336.8	6
	display	NoC	23	-	336.7	53
	investigations	NoC	4	-	336.7	22
	Digby	NoP	12	+	336.7	1
	honest	Adj	47	+	336.5	21
	dying	Verb	35	+	336.4	13
	Nottingham	NoP	4	-	336.4	21
	Ursula	NoP	11	+	336.3	1
	jug	NoC	15	+	336.3	3
	shot	Verb	82	+	336.2	45
	speaker	NoP	0	-	336.1	10
	covenant	NoC	0	-	335.7	12
	Sparc	NoP	0	-	335.6	10
	dialogue	NoC	4	-	335.6	22
	margins	NoC	2	-	335.6	16
	mathematical	Adj	2	-	335.5	17
	3,000	Num	1	-	335.4	13
	counterparts	NoC	1	-	335.0	13
	MacMillan	NoP	1	-	335.0	13
	idly	Adv	11	+	334.8	1
	Syria	NoP	0	-	334.8	12
	accurate	Adj	12	-	334.5	36
	compatible	Adj	2	-	334.4	15
	ensures	Verb	0	-	334.3	12
	5,000	Num	0	-	334.3	12
	select	Adj	2	-	334.2	16
	72	Num	1	-	334.2	13
	penalties	NoC	1	-	334.1	15
	expert	NoC	20	-	334.1	48
	't	Pron	11	+	334.0	1
	applicants	NoC	2	-	333.8	16
	ankles	NoC	15	+	333.6	3
	pouring	Verb	19	+	333.6	4
	demonstrates	Verb	0	-	333.5	12
	mips	NoC	0	-	333.3	10
	commissioned	Verb	3	-	333.2	18
	introducing	Verb	5	-	333.1	22
	antibody	NoC	0	-	333.0	11
	with	Prep	7136	+	333.0	6740
	spectacles	NoC	17	+	333.0	4
	92	Num	1	-	333.0	13
	allowance	NoC	6	-	333.0	26
	eligible	Adj	2	-	332.9	18
	spiritual	Adj	8	-	332.8	29
	adapted	Verb	3	-	332.7	19
	cloud	NoC	41	+	332.7	17
	tasted	Verb	16	+	332.6	3
	victims	NoC	12	-	332.4	36
	adverse	Adj	2	-	332.2	16
	affects	Verb	2	-	332.2	18
	looks	NoC	30	+	332.1	10
	monster	NoC	28	+	332.0	9
	a lot	Adv	57	+	331.9	28
	identity	NoC	21	-	331.8	50
	descriptions	NoC	3	-	331.8	20
	codes	NoC	2	-	331.8	17
	supplies	NoC	10	-	331.6	32
	packages	NoC	3	-	331.6	20
	elderly	Adj	27	-	331.4	59
	zones	NoC	2	-	331.3	16
	varied	Adj	2	-	331.3	17
	suggestions	NoC	6	-	331.1	25
	B.	NoP	6	-	330.9	25
	53	Num	1	-	330.8	13
	Surrey	NoP	4	-	330.7	21
	choose	Verb	41	-	330.7	78
	feminist	Adj	3	-	330.6	19
	Americas	NoP	1	-	330.6	13
	restriction	NoC	2	-	330.5	16
	G.	NoP	3	-	330.5	20
	Derby	NoP	1	-	330.2	15
	51	Num	1	-	330.2	13
	1.5	Num	0	-	330.1	10
	remarked	Verb	37	+	330.1	15
	120	Num	1	-	330.0	14
	manual	Adj	2	-	330.0	16
	pyjamas	NoC	12	+	330.0	2
	infinitive	NoC	0	-	329.7	10
	1946	Num	1	-	329.6	14
	twins	NoC	26	+	329.6	8
	1939	Num	2	-	329.3	17
	25%	NoC	0	-	329.2	10
	upset	Verb	29	+	328.9	10
	breathe	Verb	26	+	328.9	8
	wheel	NoC	47	+	328.9	21
	negotiation	NoC	1	-	328.8	15
	gloom	NoC	24	+	328.7	7
	improving	Adj	0	-	328.7	12
	lightning	NoC	22	+	328.6	6
	dividends	NoC	1	-	328.6	14
	ruled	Verb	9	-	328.6	30
	64	Num	1	-	328.4	13
	lowest	Adj	4	-	328.4	22
	Muriel	NoP	14	+	328.4	2
	steady	Verb	10	+	328.2	1
	counter	NoC	35	+	328.2	13
	Madge	NoP	11	+	328.1	1
	runs	Verb	19	-	328.0	47
	crying	NoC	17	+	327.8	4
	strengths	NoC	1	-	327.7	15
	paragraph	NoC	7	-	327.4	27
	Eve	NoP	17	+	327.4	4
	constituent	NoC	0	-	327.3	12
	lies	Verb	21	-	327.3	50
	singing	Verb	39	+	327.1	16
	dagger	NoC	12	+	327.0	2
	uncomfortably	Adv	14	+	326.9	2
	waitress	NoC	11	+	326.9	1
	specimens	NoC	3	-	326.8	20
	Oxfordshire	NoP	2	-	326.7	17
	hesitation	NoC	18	+	326.6	4
	exclude	Verb	2	-	326.4	17
	limitation	NoC	1	-	326.3	13
	W	NoP	0	-	326.1	11
	midfield	NoC	0	-	326.1	11
	elected	Adj	0	-	326.1	11
	Newton	NoP	3	-	326.0	19
	ITV	NoP	1	-	325.8	12
	murdered	Verb	31	+	325.8	11
	item	NoC	14	-	325.5	39
	c.	Adv	0	-	325.5	12
	Felix	NoP	14	+	325.5	2
	enabled	Verb	5	-	325.3	24
	returns	NoC	3	-	325.2	19
	express	Verb	14	-	325.1	39
	Sussex	NoP	5	-	325.1	23
	amendments	NoC	0	-	325.1	12
	implementing	Verb	0	-	325.0	11
	optimal	Adj	0	-	325.0	10
	comply	Verb	3	-	325.0	18
	exploration	NoC	4	-	324.9	20
	sounding	Verb	17	+	324.8	4
	economically	Adv	1	-	324.8	13
	predict	Verb	3	-	324.7	18
	pp	NoC	0	-	324.6	11
	acts	Verb	3	-	324.4	19
	excessive	Adj	5	-	324.3	23
	phases	NoC	1	-	324.3	13
	motor	NoC	21	-	324.3	50
	trading	Verb	2	-	324.2	16
	woken	Verb	15	+	324.2	3
	sandwiches	NoC	20	+	324.1	5
	Serbs	NoC	0	-	324.1	10
	stimuli	NoC	1	-	324.1	12
	weakly	Adv	14	+	324.1	2
	49	Num	1	-	324.0	12
	noises	NoC	23	+	323.9	6
	biopsy	NoC	0	-	323.8	11
	Browning	NoP	14	+	323.7	2
	rotten	Adj	19	+	323.7	5
	consultative	Adj	0	-	323.6	10
	piled	Verb	18	+	323.5	4
	RE	NoP	0	-	323.4	11
	independently	Adv	3	-	323.4	18
	sensitivity	NoC	4	-	323.1	21
	electrical	Adj	8	-	323.0	28
	were	Verb	3498	+	322.9	3226
	tearing	Verb	16	+	322.9	3
	echoed	Verb	25	+	322.5	8
	struggle	NoC	19	-	322.5	46
	blindly	Adv	11	+	322.4	1
	diplomatic	Adj	7	-	322.4	26
	butler	NoC	11	+	322.1	1
	shower	NoC	29	+	321.9	10
	serves	Verb	4	-	321.9	21
	investments	NoC	3	-	321.9	19
	killed	Verb	128	+	321.9	82
	connections	NoC	7	-	321.5	27
	expect	Verb	144	+	321.4	94
	develops	Verb	1	-	321.4	13
	opinion	NoC	48	-	321.3	88
	packet	NoC	24	+	321.1	7
	syndrome	NoC	2	-	321.1	16
	identifying	Verb	3	-	320.9	19
	confirmed	Verb	28	-	320.9	59
	slip	Verb	30	+	320.8	11
	highlighted	Verb	1	-	320.7	15
	commitments	NoC	2	-	320.6	16
	1st	Ord	2	-	320.5	17
	Janice	NoP	13	+	320.4	2
	converted	Verb	7	-	320.3	26
	thrown	Verb	54	+	320.3	26
	clean	Adj	76	+	319.9	42
	tenants	NoC	5	-	319.8	23
	fluctuations	NoC	0	-	319.7	11
	desperate	Adj	48	+	319.7	21
	quantum	NoC	0	-	319.4	12
	advance	NoC	16	-	319.4	41
	publishers	NoC	4	-	319.3	20
	last	Ord	585	-	319.3	705
	Romania	NoP	2	-	319.2	16
	topic	NoC	9	-	319.1	30
	missed	Verb	64	+	318.9	33
	enforce	Verb	1	-	318.8	13
	free	Adj	156	-	318.8	221
	deal	Verb	37	-	318.6	72
	embarrassment	NoC	30	+	318.5	10
	profitability	NoC	0	-	318.4	12
	redundancy	NoC	1	-	318.4	14
	shining	Adj	17	+	318.3	3
	kids	NoC	58	+	318.1	29
	females	NoC	6	-	318.1	24
	greatly	Adv	16	-	318.1	42
	debtor	NoC	0	-	318.1	12
	pistol	NoC	17	+	318.0	4
	measurements	NoC	3	-	318.0	18
	Stewart	NoP	7	-	318.0	26
	empire	NoC	18	-	317.7	45
	anxious	Adj	56	+	317.6	27
	provided that	Conj	2	-	317.6	15
	J / j	Lett	2	-	317.4	16
	adviser	NoC	4	-	317.4	20
	demographic	Adj	0	-	317.2	10
	investigated	Verb	4	-	317.0	20
	excess	Adj	1	-	316.9	14
	enhanced	Adj	0	-	316.8	12
	integrated	Verb	1	-	316.8	12
	antibodies	NoC	0	-	316.6	11
	buzz	Uncl	17	+	316.5	4
	reply	NoC	55	+	316.5	26
	Saddam	NoP	0	-	316.4	12
	eased	Verb	22	+	316.4	6
	mandatory	Adj	1	-	316.1	13
	1944	Num	2	-	315.9	15
	aback	Adv	12	+	315.8	2
	compromise	NoC	4	-	315.8	21
	63	Num	0	-	315.7	11
	territorial	Adj	2	-	315.7	16
	implicit	Adj	2	-	315.6	16
	endorsed	Verb	1	-	315.6	13
	draped	Verb	14	+	315.6	3
	deals	Verb	2	-	315.5	16
	locally	Adv	5	-	315.4	22
	Blackburn	NoP	0	-	315.3	12
	rushing	Verb	19	+	315.3	5
	creditor	NoC	0	-	315.3	11
	disorder	NoC	4	-	315.2	21
	K / k	Lett	4	-	315.1	20
	depth	NoC	14	-	314.9	38
	mainframe	NoC	0	-	314.8	10
	Moran	NoP	14	+	314.8	2
	Minton	NoP	0	-	314.8	11
	derive	Verb	1	-	314.7	13
	provinces	NoC	2	-	314.7	15
	constitutes	Verb	1	-	314.6	14
	stove	NoC	17	+	314.5	4
	litigation	NoC	0	-	314.5	11
	twisting	Verb	13	+	314.5	2
	primary	NoC	0	-	314.3	11
	thanked	Verb	19	+	314.1	5
	Atlantic	NoP	8	-	314.0	28
	convicted	Verb	2	-	313.9	16
	bless	Verb	14	+	313.7	3
	granted	Verb	26	-	313.4	56
	Penelope	NoP	11	+	313.4	1
	fraud	NoC	5	-	313.4	22
	varying	Adj	3	-	313.4	18
	citizenship	NoC	1	-	313.3	12
	trades	NoC	1	-	313.2	15
	dozen	NoC	48	+	313.0	22
	arrested	Verb	17	-	312.9	43
	hitherto	Adv	4	-	312.5	21
	£5	NoC	1	-	312.4	13
	cries	NoC	18	+	312.3	4
	noisily	Adv	10	+	312.3	1
	crops	NoC	4	-	312.2	21
	Bank	NoP	1	-	312.0	13
	screening	NoC	1	-	312.0	12
	invest	Verb	4	-	311.9	19
	encouraging	Adj	7	-	311.8	26
	pop	NoC	7	-	311.7	27
	domain	NoC	5	-	311.6	22
	honours	NoC	3	-	311.6	18
	Southampton	NoP	2	-	311.5	15
	writings	NoC	1	-	311.4	14
	£50	NoC	1	-	311.4	12
	Hussein	NoP	1	-	311.4	12
	Canadian	Adj	3	-	311.4	19
	pleased	Verb	14	+	311.3	3
	conversely	Adv	0	-	311.0	11
	sunshine	NoC	29	+	310.9	10
	cable	NoC	6	-	310.8	23
	raised	Verb	140	+	310.7	92
	further	Adv	107	-	310.7	161
	dirt	NoC	24	+	310.7	7
	halfway	Adv	19	+	310.5	5
	vendors	NoC	1	-	310.5	12
	begins	Verb	15	-	310.5	40
	gossip	NoC	22	+	310.4	6
	resort	NoC	6	-	310.2	24
	drivers	NoC	10	-	310.2	31
	Ethel	NoP	12	+	310.1	2
	characterized	Verb	1	-	310.0	13
	grief	NoC	30	+	309.9	11
	evaluated	Verb	0	-	309.8	10
	occupation	NoC	8	-	309.8	28
	Goldberg	NoP	10	+	309.7	1
	by	Adv	58	+	309.6	29
	in the light of	Prep	5	-	309.6	23
	Irene	NoP	15	+	309.6	3
	allowances	NoC	2	-	309.5	15
	slowed	Verb	22	+	309.5	6
	awoke	Verb	13	+	309.4	2
	consist	Verb	2	-	309.4	16
	parallel	NoC	1	-	309.4	14
	54	Num	0	-	309.3	12
	secretary-general	NoC	1	-	309.2	12
	compounds	NoC	1	-	309.0	12
	explained	Verb	109	+	308.9	67
	revival	NoC	2	-	308.8	16
	retention	NoC	0	-	308.7	11
	corporations	NoC	1	-	308.7	14
	display	Verb	6	-	308.7	24
	eight	Num	84	-	308.6	133
	purchase	Verb	3	-	308.5	18
	constant	Adj	27	-	308.5	57
	Aerospace	NoP	0	-	308.5	10
	professions	NoC	1	-	308.4	12
	initiated	Verb	2	-	308.3	16
	sizes	NoC	5	-	308.2	22
	whether or not	Conj	12	-	308.2	34
	minorities	NoC	1	-	307.9	12
	accountants	NoC	2	-	307.9	16
	allowing	Verb	24	-	307.9	53
	conclusions	NoC	9	-	307.8	30
	medieval	Adj	10	-	307.7	31
	trophy	NoC	2	-	307.7	17
	dos	NoC	0	-	307.7	11
	ribs	NoC	18	+	307.5	5
	promoted	Verb	4	-	307.5	20
	1922	Num	1	-	307.5	13
	investor	NoC	0	-	307.4	11
	differs	Verb	0	-	307.3	11
	shade	NoC	30	+	307.2	11
	Ash	NoP	14	+	307.1	3
	serious	Adj	91	-	307.0	141
	ministerial	Adj	1	-	306.9	14
	priest	NoC	42	+	306.9	18
	fibre	NoC	4	-	306.8	20
	disturbed	Verb	28	+	306.8	9
	Reagan	NoP	1	-	306.7	14
	booklet	NoC	1	-	306.6	12
	theorists	NoC	0	-	306.5	11
	mix	NoC	3	-	306.3	19
	financed	Verb	1	-	306.2	13
	currencies	NoC	0	-	306.2	10
	frequent	Adj	9	-	306.1	30
	mill	NoC	15	-	305.9	39
	battered	Adj	18	+	305.9	4
	1925	Num	0	-	305.8	11
	stockings	NoC	14	+	305.8	3
	offset	Verb	1	-	305.8	13
	some	DetP	1534	-	305.7	1719
	overhead	Adv	16	+	305.6	3
	architects	NoC	2	-	305.5	15
	boost	Verb	1	-	305.4	13
	loomed	Verb	12	+	305.1	2
	cooperation	NoC	2	-	305.0	16
	privatization	NoC	0	-	304.9	10
	promised	Verb	68	+	304.8	36
	raises	Verb	3	-	304.8	18
	mid	Adj	3	-	304.6	18
	probability	NoC	4	-	304.6	20
